zone,grouping,group,model,n,mae,rmse,bias
DE,regime,negative,nyx,527,13.807927527311202,38.30503785300556,4.130527924677406
DE,regime,negative,storm,527,12.12294494117647,35.05464876443371,3.1466184516129037
DE,regime,negative,chronos,527,19.94950879410051,43.09056639517821,8.608499668707656
DE,regime,negative,residual,527,13.601022013133717,38.58875476957666,4.032167523978846
DE,regime,upper95_train,nyx,900,26.111323803036385,50.415055408212616,-13.378238360641951
DE,regime,upper95_train,storm,900,22.788825593333332,41.58985304458122,-6.586411962222223
DE,regime,upper95_train,chronos,900,28.43747044779459,54.90468444099024,-19.985961269463434
DE,regime,upper95_train,residual,900,26.737386614225645,51.07923148500655,-15.02688239663327
DE,regime,upper99_train,nyx,104,102.26395550422181,131.2805138704158,-87.45679208964549
DE,regime,upper99_train,storm,104,68.86694127884616,97.41720162804074,-33.74513043269231
