support,zone,label,model,days,first,last,n,mae,rmse,bias
all_models_common,BE,frozen_actual,residual,343,2025-09-23,2026-08-31,8230,11.004334919217392,23.885954237280224,-1.3286550794072067
all_models_common,BE,frozen_actual,storm,343,2025-09-23,2026-08-31,8230,10.68853871202916,23.59735514688217,-2.493552382746051
all_models_common,DE,observed,weekly_naive,343,2025-09-23,2026-08-31,8230,35.31147539489672,54.46487773255704,-1.1550537667071692
all_models_common,DE,observed,nyx,343,2025-09-23,2026-08-31,8230,10.879119987203987,21.53705481249702,-0.7621831205902577
all_models_common,DE,observed,chronos,343,2025-09-23,2026-08-31,8230,12.024056377788577,23.41801258402456,-0.975412289558931
all_models_common,DE,observed,residual,343,2025-09-23,2026-08-31,8230,10.95915224901268,21.732861667155838,-1.046709766799619
all_models_common,DE,observed,storm,343,2025-09-23,2026-08-31,8230,11.305219823693804,19.96490022571384,-1.4605113585662215
all_models_common,DE,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8230,35.31257594167679,54.465212730716914,-1.1561543134872423
all_models_common,DE,frozen_actual,nyx,343,2025-09-23,2026-08-31,8230,10.878019440423914,21.53673726183503,-0.7632836673703306
all_models_common,DE,frozen_actual,chronos,343,2025-09-23,2026-08-31,8230,12.022955831008506,23.417737716559724,-0.9765128363390038
all_models_common,DE,frozen_actual,residual,343,2025-09-23,2026-08-31,8230,10.95805170223261,21.73258332565846,-1.047810313579692
all_models_common,DE,frozen_actual,storm,343,2025-09-23,2026-08-31,8230,11.306320370473875,19.965378841371248,-1.461611905346294
all_models_common,FR,observed,weekly_naive,343,2025-09-23,2026-08-31,8230,35.16568332320777,48.7776247830207,-1.708273238153098
all_models_common,FR,observed,nyx,343,2025-09-23,2026-08-31,8230,12.026309584460106,19.09283959418527,-0.32195882116170216
all_models_common,FR,observed,chronos,343,2025-09-23,2026-08-31,8230,12.866093298507414,20.256179500689562,0.2121823286826244
all_models_common,FR,observed,residual,343,2025-09-23,2026-08-31,8230,12.172269423430523,19.33975314194167,-0.45975899732541303
all_models_common,FR,observed,storm,343,2025-09-23,2026-08-31,8230,11.844206898420413,18.623129659058474,-2.0172998651275824
all_models_common,FR,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8230,35.16652840218712,48.778402978605854,-1.7091183171324424
all_models_common,FR,frozen_actual,nyx,343,2025-09-23,2026-08-31,8230,12.026994296820222,19.092964304783933,-0.32280390014104593
all_models_common,FR,frozen_actual,chronos,343,2025-09-23,2026-08-31,8230,12.866853701909598,20.2563100432882,0.2113372497032807
all_models_common,FR,frozen_actual,residual,343,2025-09-23,2026-08-31,8230,12.172387602513833,19.339774391826996,-0.4606040763047569
all_models_common,FR,frozen_actual,storm,343,2025-09-23,2026-08-31,8230,11.845051977399756,18.623796184139024,-2.0181449441069264
all_models_common,NL,observed,weekly_naive,343,2025-09-23,2026-08-31,8230,32.20151716281896,51.29286121874125,-1.0724612697448366
all_models_common,NL,observed,nyx,343,2025-09-23,2026-08-31,8230,10.927716811821464,22.36829599808889,-0.8148483923473242
all_models_common,NL,observed,chronos,343,2025-09-23,2026-08-31,8230,11.988632505839611,24.024554138804987,-0.6949771188233292
all_models_common,NL,observed,residual,343,2025-09-23,2026-08-31,8230,10.974632912731634,22.456343264088403,-1.0236915023937885
all_models_common,NL,observed,storm,343,2025-09-23,2026-08-31,8230,10.827737367314702,20.641686992842963,-1.4938528773997573
all_models_common,NL,frozen_actual,weekly_naive,343,2025-09-23,2026-08-31,8230,32.202645959902796,51.29329398268703,-1.0735900668286753
all_models_common,NL,frozen_actual,nyx,343,2025-09-23,2026-08-31,8230,10.928027391476109,22.36836049296218,-0.8159771894311638
all_models_common,NL,frozen_actual,chronos,343,2025-09-23,2026-08-31,8230,11.988528282267312,24.024533987808905,-0.6961059159071689
all_models_common,NL,frozen_actual,residual,343,2025-09-23,2026-08-31,8230,10.974353557912766,22.456285480646645,-1.0248202994776283
all_models_common,NL,frozen_actual,storm,343,2025-09-23,2026-08-31,8230,10.828818704131228,20.64193032469415,-1.4949816744835966
