stage,family,group,value,n,mae,rmse,bias
test,nyx,country_hour,DE:16,90,13.516551933518151,18.163459034132813,-0.11884653996066782
test,nyx,country_hour,DE:17,90,14.324579508284122,18.82893474328063,-0.36965578509653374
test,nyx,country_hour,DE:18,90,14.394420166500003,22.92043262248343,-3.2836648571731017
test,nyx,country_hour,DE:19,90,28.532209063944215,63.85965580078668,-13.542766450735927
test,nyx,country_hour,DE:20,90,35.82082539633216,75.87087561172923,-12.309784295696959
test,nyx,country_hour,DE:21,90,27.192876917308595,65.35316515413639,-8.069948852833713
test,nyx,country_hour,DE:22,90,16.288240657881413,36.58654533085845,-4.981543507352872
test,nyx,country_hour,DE:23,90,10.018479149369826,15.271533518642048,-1.0183442372962948
test,nyx,country_negative,DE,165,5.8719117267915575,7.815750128710187,2.233538540226595
test,nyx,country_train_q95,DE,548,21.020885226440257,51.29971750238695,-9.93811597837997
test,nyx,country,FR,2160,13.653686735966646,19.41389154014229,-0.44931932468536145
test,nyx,country_hour,FR:00,90,9.655842873414999,16.786981228213932,0.5174361595781317
test,nyx,country_hour,FR:01,90,9.26603206861598,14.18360084309684,0.005342051348225141
test,nyx,country_hour,FR:02,90,11.291860133503775,15.962281078316728,0.351533188935702
test,nyx,country_hour,FR:03,90,12.606451826010213,18.98616187574562,1.036158415334854
test,nyx,country_hour,FR:04,90,12.451583510828026,18.36778051412283,1.6624919682662957
test,nyx,country_hour,FR:05,90,12.883611901571904,18.741552753028238,1.541889684344079
test,nyx,country_hour,FR:06,90,13.079742957251835,17.1308190392808,-1.3024789764585374
test,nyx,country_hour,FR:07,90,12.836008710605084,17.142107174126476,-0.16096698202880821
test,nyx,country_hour,FR:08,90,12.840427596032088,17.279973953000496,-0.978485779007202
test,nyx,country_hour,FR:09,90,12.743117154182684,16.47416085745683,0.2583182254250895
test,nyx,country_hour,FR:10,90,15.648585764210651,20.435771052288494,1.772672919166492
test,nyx,country_hour,FR:11,90,15.089526994924206,20.665977472787386,-0.12543543769674478
test,nyx,country_hour,FR:12,90,14.348206352688553,19.609773403726873,-2.2281524602083387
test,nyx,country_hour,FR:13,90,12.984623329913324,18.79010265951773,0.04686895510916287
test,nyx,country_hour,FR:14,90,13.29967490157323,18.090096404950295,-1.512427991533862
test,nyx,country_hour,FR:15,90,14.168676551833144,19.74137201831962,0.1995325091042632
test,nyx,country_hour,FR:16,90,18.096146646423364,23.965980700533475,1.167487214130436
test,nyx,country_hour,FR:17,90,15.455761846048178,20.553084207557003,0.09411295932435546
test,nyx,country_hour,FR:18,90,14.870110191553826,19.506783988003455,-1.8148360369164636
test,nyx,country_hour,FR:19,90,17.84128096351519,27.351939236167066,-3.548919626172144
test,nyx,country_hour,FR:20,90,19.066057922768092,28.468132513689376,-3.4300047951623562
test,nyx,country_hour,FR:21,90,14.812684865188665,20.239844964239897,-1.4890959718270307
test,nyx,country_hour,FR:22,90,12.338069302851164,16.912304284267016,-2.5146744323818035
test,nyx,country_hour,FR:23,90,10.014397297691291,13.059879123281197,-0.33202955312246857
test,nyx,country_negative,FR,147,6.819416237587437,11.166408506727628,0.7050121886730555
test,nyx,country_train_q95,FR,1119,12.657863091261527,17.961459247922345,-3.7373705409594202
test,nyx,country,NL,2160,13.935610332644346,31.87007099022686,-2.140212100216687
test,nyx,country_hour,NL:00,90,8.140991405477104,12.96275779403605,-0.18115521687436015
test,nyx,country_hour,NL:01,90,7.640650296768261,11.315719779168901,-1.325328172759593
test,nyx,country_hour,NL:02,90,7.914551585821863,11.694426434510364,-1.9161504974744736
test,nyx,country_hour,NL:03,90,7.959691228544192,11.52776650167411,-1.996454398323987
test,nyx,country_hour,NL:04,90,7.75511934162817,11.224645657214305,-0.5723727775355371
test,nyx,country_hour,NL:05,90,7.792253514329613,11.577352821817659,-0.04626068016525322
test,nyx,country_hour,NL:06,90,9.446134734233132,12.825455514204451,-2.3994571072635114
test,nyx,country_hour,NL:07,90,9.975053530213883,13.863891946804772,-1.8456475458459114
test,nyx,country_hour,NL:08,90,11.096506140350968,14.988652930724596,-1.0580012436517798
test,nyx,country_hour,NL:09,90,12.89410352432922,17.975469172204072,1.4813544076872611
test,nyx,country_hour,NL:10,90,12.820587849230296,17.304063022670594,2.159589455122618
test,nyx,country_hour,NL:11,90,13.772149858634561,19.314043710938165,0.23820364425614712
test,nyx,country_hour,NL:12,90,12.195354018711063,17.935181384217696,-0.4723711921638903
test,nyx,country_hour,NL:13,90,11.786391533183586,17.54239460768505,-0.5827976482035455
