zone,grouping,group,n,coverage80,below_p10,above_p90,width80,interval_score80,wis80_single_interval
BE,hour,18,350,0.78,0.09428571428571429,0.12571428571428572,34.68204072134835,59.76096312949702,7.914700381832461
BE,hour,19,350,0.7342857142857143,0.12857142857142856,0.13714285714285715,40.25562061854771,87.39159932713268,11.11438918776204
BE,hour,20,350,0.7714285714285715,0.12,0.10857142857142857,43.75372227260045,95.50573527817683,12.124308542477783
BE,hour,21,350,0.8,0.12857142857142856,0.07142857142857142,39.57554331098284,86.57289610283135,10.932776258076634
BE,hour,22,350,0.7628571428571429,0.1,0.13714285714285715,30.90574152265276,59.751223708734095,7.76694941840755
BE,hour,23,350,0.7542857142857143,0.15142857142857144,0.09428571428571429,26.71050621032715,48.07328958894122,6.425760416218952
BE,season,DJF,2160,0.7185185185185186,0.1527777777777778,0.1287037037037037,18.48604799023381,33.09346684070926,4.49240022165408
BE,season,JJA,2208,0.7545289855072463,0.11639492753623189,0.12907608695652173,40.27095646270807,80.71720998560453,10.362046959336613
BE,season,MAM,2207,0.7788853647485274,0.08291798821930221,0.13819664703217036,35.066207446714955,66.28296574410626,8.44046223418189
BE,season,SON,1825,0.7315068493150685,0.13315068493150686,0.13534246575342465,26.777402295674364,44.975021500906855,6.138963474146157
BE,regime,negative,328,0.8567073170731707,0.06707317073170732,0.07621951219512195,49.818713304473135,125.02664764117586,14.22800127685444
BE,regime,upper95_train,1180,0.7008474576271186,0.08135593220338982,0.21779661016949153,43.470394574181505,113.10904429094458,14.184797273541514
BE,regime,upper99_train,243,0.5679012345679012,0.053497942386831275,0.3786008230452675,77.5069344916952,325.0631829747769,38.75762061027694
DE,all,all,8400,0.7464285714285714,0.12452380952380952,0.12904761904761905,30.693574513480776,57.52118701600499,7.471835297212075
DE,split,test,1800,0.765,0.08444444444444445,0.15055555555555555,34.52447540707058,68.05735651200038,8.70029870742073
DE,split,train,4321,0.729923628789632,0.14834529044202732,0.12173108076834066,27.925781928894285,50.89798282558909,6.716316505618299
DE,split,validation,2279,0.7630539710399298,0.11101360245721807,0.12593242650285214,32.91560617189964,61.75715025163263,7.934039141047583
DE,hour,0,350,0.6085714285714285,0.1657142857142857,0.2257142857142857,13.31998779296875,31.385859331854537,4.144382710527573
DE,hour,1,350,0.6714285714285714,0.14857142857142858,0.18,14.700423725673131,30.232610847281155,4.00402719691731
DE,hour,2,350,0.7028571428571428,0.13142857142857142,0.1657142857142857,15.804955662318639,31.997152571996953,4.233341036736566
DE,hour,3,350,0.7085714285714285,0.14285714285714285,0.14857142857142858,16.851070098876953,33.494989565422735,4.444677229392083
DE,hour,4,350,0.72,0.13142857142857142,0.14857142857142858,17.84838002886091,33.92445706600658,4.574720744107894
DE,hour,5,350,0.7428571428571429,0.13428571428571429,0.12285714285714286,19.82595005580357,35.3159372775928,4.767069225803138
DE,hour,6,350,0.7028571428571428,0.15428571428571428,0.14285714285714285,24.080741729736328,41.22569411749078,5.613033016708883
DE,hour,7,350,0.7742857142857142,0.13142857142857142,0.09428571428571429,33.63807038443429,53.77562740601954,7.246078256360031
DE,hour,8,350,0.7857142857142857,0.10857142857142857,0.10571428571428572,36.28294671194894,55.88727620900951,7.62237153547809
DE,hour,9,350,0.7742857142857142,0.11714285714285715,0.10857142857142857,34.33777974809919,54.24748033301072,7.129902003602352
DE,hour,10,350,0.7742857142857142,0.11142857142857143,0.11428571428571428,32.948519810267854,54.1575762204329,7.171703930571948
DE,hour,11,350,0.7371428571428571,0.12571428571428572,0.13714285714285715,33.77817697797503,61.79869284135334,7.990299046298237
DE,hour,12,350,0.7685714285714286,0.10285714285714286,0.12857142857142856,35.406108790806364,69.43625252152442,8.853048284865059
