period,support,zone,model,n,mae,rmse,bias
test75,four_model_common,pooled,storm,7200,12.361032964722222,28.457277763855245,-3.419065180277778
test75,four_model_common,BE,chronos,1800,16.715580308886665,40.25498205629534,-1.7415732878577783
test75,four_model_common,BE,residual,1800,15.882229581670193,39.701674035688384,-2.6759228552479457
test75,four_model_common,BE,nyx,1800,15.894493157294233,39.502640867525834,-2.5267694827448075
test75,four_model_common,BE,storm,1800,13.588546921666667,39.129341730710344,-3.3009890783333335
test75,four_model_common,DE,chronos,1800,14.214414210415,30.320194242677964,-1.195394912790556
test75,four_model_common,DE,residual,1800,12.685862601047623,28.299392605269222,-2.6169505046616823
test75,four_model_common,DE,nyx,1800,12.489424819862114,28.032285486425,-2.344699954217139
test75,four_model_common,DE,storm,1800,11.438904034444445,23.467530350876945,-3.4898640466666673
test75,four_model_common,FR,chronos,1800,14.243802107638889,20.034700892275783,0.2850893626944443
test75,four_model_common,FR,residual,1800,13.412726348430944,19.234670012540736,-1.5833894622305271
test75,four_model_common,FR,nyx,1800,13.404341235001441,19.191436099395798,-1.3696255968606403
test75,four_model_common,FR,storm,1800,12.324011288888888,18.23984898757102,-4.448160404444445
test75,four_model_common,NL,chronos,1800,15.012700783044444,35.128578372985594,-1.0792028286222224
test75,four_model_common,NL,residual,1800,13.585352603318036,33.31608374577601,-2.5060598608620768
test75,four_model_common,NL,nyx,1800,13.545241568487747,33.1176709086229,-2.318830691393468
test75,four_model_common,NL,storm,1800,12.092669613888887,28.718359541927267,-2.4372471916666663
