zone,grouping,group,model,n,mae,rmse,bias
DE,split,test,chronos,1800,14.214414210415,30.320194242677964,-1.195394912790556
DE,split,test,residual,1800,12.685862601047623,28.299392605269222,-2.6169505046616823
DE,split,train,nyx,4320,9.971356867903737,17.17928200756105,-0.20934235321436787
DE,split,train,storm,4320,10.529727872916666,16.591816971370605,0.7267525937499999
DE,split,train,chronos,4320,10.817886526266204,18.640423247055416,-1.6578984201828704
DE,split,train,residual,4320,10.01342915853419,17.32837318585923,-0.4947703030341713
DE,split,validation,nyx,2279,11.450687372816219,23.124182636515506,-0.18418857849811368
DE,split,validation,storm,2279,12.635469810004388,22.371152046413098,-4.1070634168494955
DE,split,validation,chronos,2279,12.869276536552436,25.3980012999426,1.0717297055563846
DE,split,validation,residual,2279,11.504087707915382,23.346597452438033,-0.4391114659532484
DE,hour,0,nyx,350,6.1559762652118115,8.42843358810804,-0.6926155629611238
DE,hour,0,storm,350,9.042798497142856,12.031539745386993,-4.0944654514285705
DE,hour,0,chronos,350,6.349369385771428,8.793466561600937,-0.17705535651428456
DE,hour,0,residual,350,6.1466434862119055,8.493833236497483,-0.7999254957116583
DE,hour,1,nyx,350,5.965559421295699,8.34212462952627,-0.5132650644891286
DE,hour,1,storm,350,8.365356597142856,11.555539308568557,-4.03006698
DE,hour,1,chronos,350,6.179899957714286,8.893683780220009,0.30712886685714247
DE,hour,1,residual,350,5.886638977550678,8.354326846273155,-0.3544526606351431
DE,hour,2,nyx,349,6.314885310664255,8.858986590347879,-0.8089325263091639
DE,hour,2,storm,349,8.225780323782237,11.122604848631944,-3.6975473438395414
DE,hour,2,chronos,349,6.492143059426934,9.499025119784402,0.18183430968481384
DE,hour,2,residual,349,6.183437478937302,8.798281895398992,-0.4430930479002641
DE,hour,3,nyx,350,6.635033775091701,9.393548425471923,-0.6175231292251627
DE,hour,3,storm,350,8.052332962857141,10.759592662537372,-3.51331708857143
DE,hour,3,chronos,350,6.956022829628572,10.13429155442265,0.21784637248571312
DE,hour,3,residual,350,6.433510049277993,9.315447355298968,-0.3084440752824043
DE,hour,4,nyx,350,6.939270819122364,9.761778017341625,-0.09824904283115919
DE,hour,4,storm,350,7.862152025714286,10.572260992679805,-3.317746648571429
DE,hour,4,chronos,350,7.269013343942858,10.371349465249994,0.32398780462857096
DE,hour,4,residual,350,6.74906887223776,9.667153738326979,0.0009374878664910317
DE,hour,5,nyx,350,7.238020221890855,10.22415639993386,0.6177771339148723
DE,hour,5,storm,350,8.329899185714286,10.725011374187478,-3.2001317400000002
DE,hour,5,chronos,350,7.462143087428572,10.663094527012483,0.6966742982857141
DE,hour,5,residual,350,7.092211754939082,10.150125277341798,0.3935386654156415
DE,hour,6,nyx,350,8.593960226628491,12.060938936984774,0.611290235225921
DE,hour,6,storm,350,9.185186171428573,12.046575281541614,-2.7962014342857144
DE,hour,6,chronos,350,8.977847598857142,13.220715512474753,-0.7191927017142861
DE,hour,6,residual,350,8.585617655063949,12.115857728068093,-0.08378609758159314
DE,hour,7,nyx,350,10.983109287876182,17.270410554196857,0.5427274203548689
DE,hour,7,storm,350,11.261318608571429,17.792049293186114,-2.256642791428571
DE,hour,7,chronos,350,11.729061952285715,18.76783268898766,-1.551219518
DE,hour,7,residual,350,10.941565598101642,17.260724052634714,-0.07657788921664349
DE,hour,8,nyx,350,11.689659364632368,17.76188029300669,-0.6263569405340146
DE,hour,8,storm,350,11.443052677142859,15.775364774652473,-3.7333527685714287
DE,hour,8,chronos,350,12.864308011428573,20.069282331286576,-2.1083380514285714
DE,hour,8,residual,350,11.828535782487853,17.93265493690283,-0.9407782903806979
DE,hour,9,nyx,350,10.540209944204916,15.503912094769577,-0.6802609971992768
DE,hour,9,storm,350,10.564740134285715,14.76810567459556,-3.6887480485714295
DE,hour,9,chronos,350,12.287391088942856,17.812818479925195,-0.4950087247714284
DE,hour,9,residual,350,10.662355074329163,15.61569284552168,-0.6352361484466091
DE,hour,10,nyx,350,10.683596547629262,15.408109972849044,-0.21668616757871437
DE,hour,10,storm,350,10.483498651428572,14.845835951407789,-3.7541981999999994
DE,hour,10,chronos,350,12.955965304085714,18.05976484786611,0.7705446029428569
DE,hour,10,residual,350,10.634569873813701,15.492254570937572,0.06902643049888532
DE,hour,11,nyx,350,11.611158570624037,18.281222576819196,-0.55928246293896
DE,hour,11,storm,350,10.817193885714286,16.405023514629885,-3.1540827085714285
DE,hour,11,chronos,350,13.883339490285715,20.77958301849402,0.7802226228571431
DE,hour,11,residual,350,11.65925239885817,18.60243961538085,-0.6075591695857786
DE,hour,12,nyx,350,12.67189435029029,24.128382966827083,-0.26875221550816986
DE,hour,12,storm,350,11.810348780000002,21.29333927753146,-2.2912533742857137
DE,hour,12,chronos,350,14.698552441491426,26.62332408556098,1.2862106854914281
DE,hour,12,residual,350,12.723199065445998,24.360590330001227,-0.7208832680348709
DE,hour,13,nyx,350,13.749116981011118,33.13734226428805,1.7300493720496675
DE,hour,13,storm,350,13.43667856,31.071872847909805,-0.2979594457142859
DE,hour,13,chronos,350,16.31990841912286,35.660480084817536,2.9307898216942854
DE,hour,13,residual,350,13.923152927861018,33.29463328597233,0.9839555769845529
DE,hour,14,nyx,350,13.749151188788705,32.642128924911496,1.5466458969753214
DE,hour,14,storm,350,14.070177245714287,30.011852278551586,-0.7235516228571427
DE,hour,14,chronos,350,16.438834321928574,35.153181557325226,2.7704426889285716
DE,hour,14,residual,350,13.905819097733309,32.85179857084988,0.8985933770926061
DE,hour,15,nyx,350,12.503470521313346,21.466485531035016,0.19908884786987732
DE,hour,15,storm,350,12.167393691428572,18.674966552904575,-1.5830720457142862
DE,hour,15,chronos,350,14.792498987028571,24.11993367584538,1.504786082457143
DE,hour,15,residual,350,12.607709507498923,21.937220694366836,-0.19889752679605896
DE,hour,16,nyx,350,12.847294060146622,18.677923385799545,-1.4996091480358735
DE,hour,16,storm,350,11.863100222857144,16.738183211659184,-0.3609993485714287
DE,hour,16,chronos,350,15.209634319142857,21.422918088900033,-1.0144437648571436
DE,hour,16,residual,350,13.057656543308191,19.074946186382796,-1.8786940227743243
DE,hour,17,nyx,350,12.752993467187956,19.213825723319793,-2.042652010878338
DE,hour,17,storm,350,13.712743042857143,23.971313609463643,2.882693688571429
DE,hour,17,chronos,350,14.559403565714284,22.326950917609565,-2.681627914285715
DE,hour,17,residual,350,13.115114292486389,19.589799576790334,-2.1729611179295927
DE,hour,18,nyx,350,13.424313020780033,22.410506099631437,-2.4702233254569297
DE,hour,18,storm,350,14.624986062857143,22.752842588887166,1.8521443542857143
DE,hour,18,chronos,350,14.803457582857142,25.12630368848794,-4.59465344
DE,hour,18,residual,350,13.6669428451852,22.771823475877287,-2.875313493215147
DE,hour,19,nyx,350,17.017718214113163,33.942441436171194,-3.4203516224150516
DE,hour,19,storm,350,16.53296636285714,26.73106240058056,2.0261234657142864
DE,hour,19,chronos,350,18.167713782857142,35.628557323038045,-5.402770857142857
DE,hour,19,residual,350,17.4664202816151,34.32470358211959,-3.711339624387417
DE,hour,20,nyx,350,17.2826140268683,40.08161799575524,-3.317063386947184
DE,hour,20,storm,350,15.83030605714286,32.41507872630942,2.559721217142856
DE,hour,20,chronos,350,18.11153405714286,42.967853628890985,-5.6017392857142845
DE,hour,20,residual,350,17.501634085147963,40.40826748245527,-3.502502236793871
DE,hour,21,nyx,350,13.77885481064522,36.1429517477052,-2.732934076866028
DE,hour,21,storm,350,13.342558282857143,30.776276031400304,1.1569610885714277
DE,hour,21,chronos,350,14.331274756000003,38.37647035310975,-4.297760853142858
DE,hour,21,residual,350,14.13138282693242,36.41147359697532,-3.1772373506451483
DE,hour,22,nyx,350,10.22527300997615,20.856842370961402,-1.825229270916248
DE,hour,22,storm,350,11.161655714285713,20.65150990302851,-0.7590570914285723
DE,hour,22,chronos,350,10.620796302857142,22.070723792577592,-3.1308263542857144
DE,hour,22,residual,350,10.324303290935005,21.077309438064376,-2.6511521072292017
DE,hour,23,nyx,350,8.531603031306544,12.685338077368897,1.2984263692702023
DE,hour,23,storm,350,8.90781382857143,12.114804310421182,1.0436670228571423
DE,hour,23,chronos,350,8.982139902857144,13.386937717435261,0.3722309942857137
DE,hour,23,residual,350,8.534875292817055,12.874878646469469,0.3667913948196695
