support,zone,label,model,days,first,last,n,mae,rmse,bias
all_models_common,pooled,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,34360,34.001315301222355,51.742424652939675,-2.4217575305587897
all_models_common,pooled,frozen_actual,nyx,358,2025-09-23,2026-09-15,34360,11.384738465399769,21.9735754241017,-0.709578759123738
all_models_common,pooled,frozen_actual,chronos,358,2025-09-23,2026-09-15,34360,12.37722121959712,23.48786129531604,-0.49509418390532595
all_models_common,pooled,frozen_actual,residual,358,2025-09-23,2026-09-15,34360,11.479313253921019,22.144083763577978,-0.9442017850149109
all_models_common,pooled,frozen_actual,storm,358,2025-09-23,2026-09-15,34360,11.317092022613503,20.868555021633693,-2.089718047526193
all_models_common,BE,observed,weekly_naive,358,2025-09-23,2026-09-15,8590,32.34771551222351,51.158632114566586,-2.5440013096623986
all_models_common,BE,observed,nyx,358,2025-09-23,2026-09-15,8590,11.16554767130132,23.945656874092702,-1.0556585639317162
all_models_common,BE,observed,chronos,358,2025-09-23,2026-09-15,8590,11.978047293040861,25.087259643912944,-0.7539617263584402
all_models_common,BE,observed,residual,358,2025-09-23,2026-09-15,8590,11.263903954997058,24.086278407258366,-1.3821674397574413
all_models_common,BE,observed,storm,358,2025-09-23,2026-09-15,8590,10.932209098253784,23.634149654828583,-2.7906972840512223
all_models_common,BE,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8590,32.34879874854482,51.159069198384444,-2.5450845459837024
all_models_common,BE,frozen_actual,nyx,358,2025-09-23,2026-09-15,8590,11.164464434980019,23.945380779838587,-1.0567418002530198
all_models_common,BE,frozen_actual,chronos,358,2025-09-23,2026-09-15,8590,11.977153213879046,25.087093833971732,-0.7550449626797437
all_models_common,BE,frozen_actual,residual,358,2025-09-23,2026-09-15,8590,11.26287465608123,24.086079587295828,-1.3832506760787449
all_models_common,BE,frozen_actual,storm,358,2025-09-23,2026-09-15,8590,10.931761271478464,23.634061497734358,-2.791780520372526
all_models_common,DE,observed,weekly_naive,358,2025-09-23,2026-09-15,8590,35.826861757857976,55.179782479769685,-2.316075960419092
all_models_common,DE,observed,nyx,358,2025-09-23,2026-09-15,8590,11.092253848435359,22.049332717425116,-0.8112132332023146
all_models_common,DE,observed,chronos,358,2025-09-23,2026-09-15,8590,12.320521011264262,24.094476737353578,-0.9505303746577417
all_models_common,DE,observed,residual,358,2025-09-23,2026-09-15,8590,11.183593723068308,22.27558135857808,-1.1142292636893796
all_models_common,DE,observed,storm,358,2025-09-23,2026-09-15,8590,11.456275123748545,20.254901334755314,-1.7775432483119906
all_models_common,DE,frozen_actual,weekly_naive,358,2025-09-23,2026-09-15,8590,35.82791618160652,55.18009928017654,-2.317130384167637
all_models_common,DE,frozen_actual,nyx,358,2025-09-23,2026-09-15,8590,11.091199424686812,22.049035543786918,-0.8122676569508593
all_models_common,DE,frozen_actual,chronos,358,2025-09-23,2026-09-15,8590,12.319466587515715,24.09422078312894,-0.9515847984062865
all_models_common,DE,frozen_actual,residual,358,2025-09-23,2026-09-15,8590,11.182539299319764,22.27532117956965,-1.1152836874379246
all_models_common,DE,frozen_actual,storm,358,2025-09-23,2026-09-15,8590,11.45732954749709,20.255353326960723,-1.7785976720605354
all_models_common,FR,observed,weekly_naive,358,2025-09-23,2026-09-15,8590,35.15593961001164,48.75182422433308,-2.537057770663563
all_models_common,FR,observed,nyx,358,2025-09-23,2026-09-15,8590,12.146761001954832,19.153438505147477,-0.13444991445076104
all_models_common,FR,observed,chronos,358,2025-09-23,2026-09-15,8590,13.00287636539185,20.32956386846702,0.4059915386563444
all_models_common,FR,observed,residual,358,2025-09-23,2026-09-15,8590,12.291588923661802,19.39818260027644,-0.2526011040802728
all_models_common,FR,observed,storm,358,2025-09-23,2026-09-15,8590,11.859165395692667,18.55824568351932,-2.00245150838184
